matchID,seriesID,seriesName,matchDescription,matchFormat,startDate,endDate,state,status,teamID,teamName,team1Name,team1imageID,team2teamId,team2Name,team2Name,team2imageId,venueInfoid,venueInfoground,city,timezone,latitude,longitude,currBatTeamId,seriesStartDt,seriesEndDt,isTimeAnnounced,stateTitle,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inngs2inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs2isDeclared,inngs1isDeclared,inngs2isFollowOn,inngs1isDeclared
70361.0,6297.0,"West Indies tour of Australia, 2024",1st T20I,T20,1707465600000,1707478200000,Complete,Australia won by 11 runs,4.0,Australia,AUS,172117.0,10.0,West Indies,WI,172124.0,39.0,Bellerive Oval,Hobart,+11:00,-42.877296,147.374013,4.0,1704844800000,1707955200000,True,AUS Won,1.0,213.0,7.0,19.6,,,,,2.0,202.0,8.0,19.6,,,,,,,,
70354.0,6297.0,"West Indies tour of Australia, 2024",3rd ODI,ODI,1707190200000,1707219000000,Complete,Australia won by 8 wkts,10.0,West Indies,WI,172124.0,4.0,Australia,AUS,172117.0,123.0,Manuka Oval,Canberra,+11:00,-35.318630,149.136703,4.0,1704844800000,1707955200000,True,AUS Won,1.0,86.0,10.0,24.1,,,,,2.0,87.0,2.0,6.5,,,,,,,,
70347.0,6297.0,"West Indies tour of Australia, 2024",2nd ODI,ODI,1707017400000,1707046200000,Complete,Australia won by 83 runs,4.0,Australia,AUS,172117.0,10.0,West Indies,WI,172124.0,34.0,Sydney Cricket Ground,Sydney,+11:00,-33.868820,151.209296,4.0,1704844800000,1707955200000,True,AUS Won,1.0,258.0,9.0,49.6,,,,,2.0,175.0,10.0,43.3,,,,,,,,
88417.0,7511.0,ACC Mens T20I Challenger Cup 2024,Final,T20,1707634200000,1707646800000,Complete,Saudi Arabia won by 5 wkts,1447.0,Cambodia,CBD,254834.0,571.0,Saudi Arabia,SAU,172623.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1706313600000,1707782400000,True,SAU Won,1.0,147.0,5.0,19.6,,,,,2.0,151.0,5.0,17.3,,,,,,,,
88410.0,7511.0,ACC Mens T20I Challenger Cup 2024,3rd Place Play-off,T20,1707618600000,1707631200000,Complete,Singapore won by 8 wkts,547.0,Japan,JPN,248418.0,190.0,Singapore,SIN,172250.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,190.0,1706313600000,1707782400000,True,SIN Won,1.0,215.0,3.0,19.6,,,,,2.0,216.0,2.0,19.2,,,,,,,,
88403.0,7511.0,ACC Mens T20I Challenger Cup 2024,Semi Final 2,T20,1707461400000,1707474000000,Complete,Cambodia won by 6 wkts,190.0,Singapore,SIN,172250.0,1447.0,Cambodia,CBD,254834.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,1447.0,1706313600000,1707782400000,True,CBD Won,1.0,109.0,10.0,19.6,,,,,2.0,113.0,4.0,14.5,,,,,,,,
88396.0,7511.0,ACC Mens T20I Challenger Cup 2024,Semi Final 1,T20,1707445800000,1707458400000,Complete,Saudi Arabia won by 10 wkts,547.0,Japan,JPN,248418.0,571.0,Saudi Arabia,SAU,172623.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1706313600000,1707782400000,True,SAU Won,1.0,97.0,8.0,19.6,,,,,2.0,98.0,,8.6,,,,,,,,
88389.0,7511.0,ACC Mens T20I Challenger Cup 2024,7th Place Play-off,T20,1707288600000,1707301200000,Complete,Maldives won by 32 runs,563.0,Maldives,MDV,172615.0,555.0,Bhutan,BTN,172607.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,563.0,1706313600000,1707782400000,True,MDV Won,1.0,137.0,8.0,19.6,,,,,2.0,105.0,10.0,18.2,,,,,,,,
88382.0,7511.0,ACC Mens T20I Challenger Cup 2024,5th Place Play-off,T20,1707273000000,1707285600000,Complete,Thailand won by 7 wkts,566.0,Indonesia,IDN,172618.0,384.0,Thailand,THAI,172437.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,384.0,1706313600000,1707782400000,True,THAI Won,1.0,131.0,8.0,19.6,,,,,2.0,132.0,3.0,17.2,,,,,,,,
88375.0,7511.0,ACC Mens T20I Challenger Cup 2024,"12th Match, Group B",T20,1707201000000,1707213600000,Complete,Thailand won by 8 wkts,563.0,Maldives,MDV,172615.0,384.0,Thailand,THAI,172437.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,384.0,1706313600000,1707782400000,True,THAI Won,1.0,127.0,7.0,19.6,,,,,2.0,128.0,2.0,9.4,,,,,,,,
